expression,force,flavor,can_express,polarity,syntactically_negated,full_form,notes
V-ccu,weak,circumstantial,?,negative,?,V-NEG-ccu,
V-ccu,strong,bouletic,?,negative,?,V-NEG-ccu,
v-anakuntaa,strong,epistemic,?,negative,?,V-NEG-anakuntaa,
v-anakuntaa,weak necessity,epistemic,?,negative,?,V-NEG-anakuntaa,
v-anakuntaa,weak,epistemic,1,negative,?,V-NEG-anakuntaa,
v-anakuntaa,strong,deontic,?,negative,?,V-NEG-anakuntaa,
v-anakuntaa,weak necessity,deontic,?,negative,?,V-NEG-anakuntaa,
v-anakuntaa,weak,deontic,?,negative,?,V-NEG-anakuntaa,
v-anakuntaa,strong,teleological,?,negative,?,V-NEG-anakuntaa,
v-anakuntaa,weak necessity,teleological,?,negative,?,V-NEG-anakuntaa,
v-anakuntaa,weak,teleological,?,negative,?,V-NEG-anakuntaa,
v-anakuntaa,strong ,circumstantial,?,negative,?,V-NEG-anakuntaa,
v-anakuntaa,weak,circumstantial,?,negative,?,V-NEG-anakuntaa,
v-anakuntaa,strong,bouletic,?,negative,?,V-NEG-anakuntaa,
avasaram ,strong,epistemic,?,negative,above,[clause] + avasaram ledu,avasaram (need) + ledu (negator)
avasaram ,weak necessity,epistemic,?,negative,above,[clause] + avasaram ledu,avasaram (need) + ledu (negator)
avasaram ,weak,epistemic,?,negative,above,[clause] + avasaram ledu,avasaram (need) + ledu (negator)
avasaram ,strong,deontic,1,negative,above,[clause] + avasaram ledu,avasaram (need) + ledu (negator)
avasaram ,weak necessity,deontic,?,negative,above,[clause] + avasaram ledu,avasaram (need) + ledu (negator)
avasaram ,weak,deontic,?,negative,above,[clause] + avasaram ledu,avasaram (need) + ledu (negator)
avasaram ,strong,teleological,1,negative,above,[clause] + avasaram ledu,avasaram (need) + ledu (negator)
avasaram ,weak necessity,teleological,?,negative,above,[clause] + avasaram ledu,avasaram (need) + ledu (negator)
avasaram ,weak,teleological,?,negative,above,[clause] + avasaram ledu,avasaram (need) + ledu (negator)
avasaram ,strong ,circumstantial,?,negative,above,[clause] + avasaram ledu,avasaram (need) + ledu (negator)
avasaram ,weak,circumstantial,?,negative,above,[clause] + avasaram ledu,avasaram (need) + ledu (negator)
avasaram ,strong,bouletic,?,negative,above,[clause] + avasaram ledu,avasaram (need) + ledu (negator)
kuuda,strong,epistemic,?,negative,?,[clause] + kuuda + AGR,Negate a non-modal clause with negator KUUDA
