expression,force,flavor,can_express,polarity,syntactically_negated,full_form,notes
şart,weak necessity,epistemic,?,negative,yes,şart değil,
şart,weak,epistemic,?,negative,yes,şart değil,
şart,strong,deontic,?,negative,yes,şart değil,
şart,weak necessity,deontic,?,negative,yes,şart değil,
şart,weak,deontic,?,negative,yes,şart değil,
şart,strong,teleological,?,negative,yes,şart değil,
şart,weak necessity,teleological,?,negative,yes,şart değil,
şart,weak,teleological,?,negative,yes,şart değil,
şart,strong,circumstantial,?,negative,yes,şart değil,
şart,weak,circumstantial,?,negative,yes,şart değil,
şart,strong,bouletic,?,negative,yes,şart değil,
lazım,strong,epistemic,1,negative,yes,clause + lazım değil,sentence-final periphrastic
lazım,weak necessity,epistemic,?,negative,yes,clause + lazım değil,
lazım,weak,epistemic,?,negative,yes,clause + lazım değil,
lazım,strong,deontic,1,negative,yes,clause + lazım değil,
lazım,weak necessity,deontic,?,negative,yes,clause + lazım değil,
lazım,weak,deontic,?,negative,yes,clause + lazım değil,
lazım,strong,teleological,?,negative,yes,clause + lazım değil,
lazım,weak necessity,teleological,?,negative,yes,clause + lazım değil,
lazım,weak,teleological,?,negative,yes,clause + lazım değil,
lazım,strong,circumstantial,?,negative,yes,clause + lazım değil,
lazım,weak,circumstantial,?,negative,yes,clause + lazım değil,
lazım,strong,bouletic,?,negative,yes,clause + lazım değil,
gerek,strong,epistemic,1,negative,yes,clause + gerek değil,sentence-final periphrastic
gerek,weak necessity,epistemic,?,negative,yes,gerek + NEG,
gerek,weak,epistemic,?,negative,yes,gerek + NEG,
gerek,strong,deontic,1,negative,yes,[CLAUSE] gerek yok,yok is negative existential rather than negator. Sometimes interchangeable with var. 
gerek,weak necessity,deontic,?,negative,yes,gerek + NEG,
gerek,weak,deontic,?,negative,yes,gerek + NEG,
gerek,strong,teleological,1,negative,yes,[CLAUSE] gerek yok,
gerek,weak necessity,teleological,?,negative,yes,gerek + NEG,
gerek,weak,teleological,?,negative,yes,gerek + NEG,
