expression,force,flavor,can_express,polarity,syntactically_negated,neg_position,full_form,notes
objazani,strong,teleological,?,positive,no,none,objazani,
objazani,weak necessity,teleological,?,positive,no,none,objazani,
objazani,weak,teleological,?,positive,no,none,objazani,
objazani,strong,circumstantial,?,positive,no,none,objazani,
objazani,weak,circumstantial,?,positive,no,none,objazani,
objazani,strong,bouletic,?,positive,no,none,objazani,
navernoje,strong,epistemic,1,positive,no,none,navernoje,
navernoje,weak necessity,epistemic,1,positive,no,none,navernoje,
navernoje,weak,epistemic,?,positive,no,none,navernoje,
navernoje,strong,deontic,?,positive,no,none,navernoje,
navernoje,weak necessity,deontic,?,positive,no,none,navernoje,
navernoje,weak,deontic,?,positive,no,none,navernoje,
navernoje,strong,teleological,?,positive,no,none,navernoje,
navernoje,weak necessity,teleological,?,positive,no,none,navernoje,
navernoje,weak,teleological,?,positive,no,none,navernoje,
navernoje,strong,circumstantial,?,positive,no,none,navernoje,
navernoje,weak,circumstantial,?,positive,no,none,navernoje,
navernoje,strong,bouletic,?,positive,no,none,navernoje,
xočet,strong,epistemic,?,positive,no,none,xočet,
xočet,weak necessity,epistemic,?,positive,no,none,xočet,
xočet,weak,epistemic,?,positive,no,none,xočet,
xočet,strong,deontic,?,positive,no,none,xočet,
xočet,weak necessity,deontic,?,positive,no,none,xočet,
xočet,weak,deontic,?,positive,no,none,xočet,
xočet,strong,teleological,?,positive,no,none,xočet,
xočet,weak necessity,teleological,?,positive,no,none,xočet,
xočet,weak,teleological,?,positive,no,none,xočet,
xočet,strong,circumstantial,?,positive,no,none,xočet,
xočet,weak,circumstantial,?,positive,no,none,xočet,
xočet,strong,bouletic,1,positive,no,none,xočet,
možet,strong,epistemic,1,negative,yes,above,možet ne,
možet,weak necessity,epistemic,?,negative,yes,above,možet ne,
možet,weak,epistemic,?,negative,yes,above,možet ne,
možet,strong,deontic,?,negative,yes,above,možet ne,
možet,weak necessity,deontic,?,negative,yes,above,možet ne,
možet,weak,deontic,?,negative,yes,above,možet ne,
možet,strong,teleological,?,negative,yes,above,možet ne,
možet,weak necessity,teleological,?,negative,yes,above,možet ne,
možet,weak,teleological,?,negative,yes,above,možet ne,
možet,strong,circumstantial,?,negative,yes,above,možet ne,
možet,weak,circumstantial,?,negative,yes,above,možet ne,
možet,strong,bouletic,?,negative,yes,above,možet ne,
možet,strong,epistemic,1,negative,yes,below,ne možet,
možet,weak necessity,epistemic,?,negative,yes,below,ne možet,
možet,weak,epistemic,1,negative,yes,below,ne možet,
možet,strong,deontic,?,negative,yes,below,ne možet,
možet,weak necessity,deontic,?,negative,yes,below,ne možet,
možet,weak,deontic,1,negative,yes,below,ne možet,
možet,strong,teleological,?,negative,yes,below,ne možet,
možet,weak necessity,teleological,?,negative,yes,below,ne možet,
