ID,Value,UnitParameter_ID,UnitValue,Comment,Source
64-1,64,weak.deontic,can,,
65-1,65,weak.ability,can,,
66-1,66,strong.epistemic,cannot,,
66-2,66,weak.circumstantial,cannot,,
66-3,66,strong.deontic,cannot,,
66-4,66,strong.circumstantial,can,,
66-5,66,weak.epistemic,cannot,,
66-6,66,weak.deontic,cannot,,
67-1,67,strong.epistemic,cannot,,
67-2,67,weak.circumstantial,cannot,,
67-3,67,weak.deontic,cannot,,
67-4,67,weak.epistemic,can,,
67-5,67,strong.circumstantial,cannot,,
67-6,67,strong.deontic,cannot,,
68-1,68,strong.epistemic,cannot,,
68-2,68,weak.circumstantial,cannot,,
68-3,68,weak.deontic,cannot,,
68-4,68,weak.epistemic,can,,
68-5,68,strong.circumstantial,cannot,,
68-6,68,strong.deontic,cannot,,
69-1,69,weak.epistemic,cannot,,
69-2,69,strong.circumstantial,cannot,,
69-3,69,weak.deontic,cannot,,
69-4,69,weak.circumstantial,can,,
69-5,69,strong.epistemic,cannot,,
69-6,69,strong.deontic,cannot,,
70-1,70,strong.epistemic,cannot,,
70-2,70,weak.circumstantial,cannot,,
70-3,70,weak.deontic,cannot,,
70-4,70,weak.epistemic,can,,
70-5,70,strong.circumstantial,cannot,,
70-6,70,strong.deontic,cannot,,
