expression,force,flavour,can_express,polarity,register,syntactically_negated,full_form,notes
Dong,weak necessity,epistemic,?,positive,conversational,no,,
Dong,weak,epistemic,?,positive,conversational,no,,
Dong,weak necessity,deontic,?,positive,conversational,no,,
Dong,weak,deontic,?,positive,conversational,no,,
Dong,weak necessity,teleological,?,positive,conversational,no,,
Dong,weak,teleological,?,positive,conversational,no,,
Dong,weak,circumstantial,?,positive,conversational,no,,
Jampben dong ca,weak necessity,epistemic,?,positive,formal,no,,
Jampben dong ca,weak,epistemic,?,positive,formal,no,,
Jampben dong ca,weak necessity,deontic,?,positive,formal,no,,
Jampben dong ca,weak,deontic,?,positive,formal,no,,
Jampben dong ca,strong,teleological,?,positive,formal,no,,
Jampben dong ca,weak necessity,teleological,?,positive,formal,no,,
Jampben dong ca,weak,teleological,?,positive,formal,no,,
Jampben dong ca,weak,circumstantial,?,positive,formal,no,,
Jampben dong ca,strong,bouletic,?,positive,formal,no,,
Jampben dong,weak necessity,epistemic,?,positive,formal,no,,
Jampben dong,weak,epistemic,?,positive,formal,no,,
Jampben dong,weak necessity,deontic,?,positive,formal,no,,
Jampben dong,weak,deontic,?,positive,formal,no,,
Jampben dong,weak necessity,teleological,?,positive,formal,no,,
Jampben dong,weak,teleological,?,positive,formal,no,,
Jampben dong,weak,circumstantial,?,positive,formal,no,,
Jampben dong,strong,bouletic,?,positive,formal,no,,
Naa ca,strong,epistemic,?,positive,conversational,no,,
Naa ca,weak,epistemic,?,positive,conversational,no,,
Naa ca,strong,deontic,?,positive,conversational,no,,
Naa ca,weak,deontic,?,positive,conversational,no,,
Naa ca,strong,teleological,?,positive,conversational,no,,
Naa ca,weak necessity,teleological,?,positive,conversational,no,,
Naa ca,weak,teleological,?,positive,conversational,no,,
Naa ca,strong ,circumstantial,?,positive,conversational,no,,
Naa ca,weak,circumstantial,?,positive,conversational,no,,
Naa ca,strong,bouletic,?,positive,conversational,no,,
Naa,strong,epistemic,?,positive,conversational,no,,
Naa,weak,epistemic,?,positive,conversational,no,,
Naa,strong,deontic,?,positive,conversational,no,,
Naa,weak,deontic,?,positive,conversational,no,,
Naa,strong,teleological,?,positive,conversational,no,,
Naa,weak necessity,teleological,?,positive,conversational,no,,
Naa,weak,teleological,?,positive,conversational,no,,
Naa,strong ,circumstantial,?,positive,conversational,no,,
Naa,weak,circumstantial,?,positive,conversational,no,,
Naa,strong,bouletic,?,positive,conversational,no,,
Sonkuan,strong,epistemic,?,positive,formal,no,,
Sonkuan,weak necessity,epistemic,?,positive,formal,no,,
Sonkuan,weak,epistemic,?,positive,formal,no,,
Sonkuan,strong,deontic,?,positive,formal,no,,
Sonkuan,weak,deontic,?,positive,formal,no,,
Sonkuan,strong,teleological,?,positive,formal,no,,
Sonkuan,weak,teleological,?,positive,formal,no,,
Sonkuan,strong ,circumstantial,?,positive,formal,no,,
Sonkuan,weak,circumstantial,?,positive,formal,no,,
Sonkuan,strong,bouletic,?,positive,formal,no,,
Kuan ca,strong,epistemic,?,positive,formal,no,,
Kuan ca,weak,epistemic,?,positive,formal,no,,
Kuan ca,strong,deontic,?,positive,formal,no,,
Kuan ca,weak,deontic,?,positive,formal,no,,
Kuan ca,strong,teleological,?,positive,formal,no,,
Kuan ca,weak,teleological,?,positive,formal,no,,
Kuan ca,strong ,circumstantial,?,positive,formal,no,,
Kuan ca,weak,circumstantial,?,positive,formal,no,,
Kuan ca,strong,bouletic,?,positive,formal,no,,
Kuan ,strong,epistemic,?,positive,formal,no,,
Kuan ,weak,epistemic,?,positive,formal,no,,
Kuan ,strong,deontic,?,positive,formal,no,,
Kuan ,weak,deontic,?,positive,formal,no,,
Kuan ,strong,teleological,?,positive,formal,no,,
Kuan ,weak,teleological,?,positive,formal,no,,
Kuan ,strong ,circumstantial,?,positive,formal,no,,
Kuan ,weak,circumstantial,?,positive,formal,no,,
Kuan ,strong,bouletic,?,positive,formal,no,,
Aat ca,strong,epistemic,?,positive,conversational,no,,
Aat ca,weak necessity,epistemic,?,positive,conversational,no,,
Aat ca,strong,deontic,?,positive,conversational,no,,
Aat ca,weak necessity,deontic,?,positive,conversational,no,,
Aat ca,strong,teleological,?,positive,conversational,no,,
Aat ca,weak necessity,teleological,?,positive,conversational,no,,
Aat ca,weak,teleological,?,positive,conversational,no,,
Aat ca,strong ,circumstantial,?,positive,conversational,no,,
Aat ca,weak,circumstantial,?,positive,conversational,no,,
Aat ca,strong,bouletic,?,positive,conversational,no,,
Aat ,strong,epistemic,?,positive,conversational,no,,
Aat ,weak necessity,epistemic,?,positive,conversational,no,,
Aat ,strong,deontic,?,positive,conversational,no,,
Aat ,weak necessity,deontic,?,positive,conversational,no,,
Aat ,strong,teleological,?,positive,conversational,no,,
Aat ,weak,teleological,?,positive,conversational,no,,
Aat ,strong ,circumstantial,?,positive,conversational,no,,
Aat ,weak,circumstantial,?,positive,conversational,no,,
Aat ,strong,bouletic,?,positive,conversational,no,,
Anuyard,strong,epistemic,?,positive,formal,no,,
Anuyard,weak necessity,epistemic,?,positive,formal,no,,
Anuyard,weak,epistemic,?,positive,formal,no,,
Anuyard,strong,deontic,?,positive,formal,no,,
Anuyard,weak necessity,deontic,?,positive,formal,no,,
Anuyard,strong,teleological,?,positive,formal,no,,
Anuyard,weak necessity,teleological,?,positive,formal,no,,
Anuyard,strong ,circumstantial,?,positive,formal,no,,
Anuyard,weak,circumstantial,?,positive,formal,no,,
Anuyard,strong,bouletic,?,positive,formal,no,,
... dai,strong,epistemic,?,positive,conversational,no,,sentence final particle
... dai,weak necessity,epistemic,?,positive,conversational,no,,sentence final particle
... dai,weak,epistemic,?,positive,conversational,no,,sentence final particle
... dai,strong,deontic,?,positive,conversational,no,,sentence final particle
... dai,weak necessity,deontic,?,positive,conversational,no,,sentence final particle
... dai,strong,teleological,?,positive,conversational,no,,sentence final particle
... dai,weak necessity,teleological,?,positive,conversational,no,,sentence final particle
... dai,strong ,circumstantial,?,positive,conversational,no,,sentence final particle
... dai,strong,bouletic,?,positive,conversational,no,,sentence final particle
saamaat,strong,epistemic,?,positive,formal,no,,
saamaat,weak necessity,epistemic,?,positive,formal,no,,
saamaat,weak,epistemic,?,positive,formal,no,,
saamaat,strong,deontic,?,positive,formal,no,,
saamaat,weak necessity,deontic,?,positive,formal,no,,
saamaat,weak,deontic,?,positive,formal,no,,
saamaat,strong,teleological,?,positive,formal,no,,
saamaat,weak necessity,teleological,?,positive,formal,no,,
saamaat,strong ,circumstantial,?,positive,formal,no,,
saamaat,strong,bouletic,?,positive,formal,no,,
Kong ca,strong,epistemic,?,positive,formal,no,,
Kong ca,weak necessity,epistemic,?,positive,formal,no,,
Kong ca,strong,deontic,?,positive,formal,no,,
Kong ca,weak necessity,deontic,?,positive,formal,no,,
Kong ca,strong,teleological,?,positive,formal,no,,
Kong ca,weak,teleological,?,positive,formal,no,,
Kong ca,strong ,circumstantial,?,positive,formal,no,,
Kong ca,weak,circumstantial,?,positive,formal,no,,
Kong ca,strong,bouletic,?,positive,formal,no,,
Kong ,strong,epistemic,?,positive,formal,no,,
Kong ,weak necessity,epistemic,?,positive,formal,no,,
Kong ,strong,deontic,?,positive,formal,no,,
Kong ,weak necessity,deontic,?,positive,formal,no,,
Kong ,weak,deontic,?,positive,formal,no,,
Kong ,strong,teleological,?,positive,formal,no,,
Kong ,weak necessity,teleological,?,positive,formal,no,,
Kong ,weak,teleological,?,positive,formal,no,,
Kong ,strong ,circumstantial,?,positive,formal,no,,
Kong ,weak,circumstantial,?,positive,formal,no,,
Kong ,strong,bouletic,?,positive,formal,no,,
saamaat... dai,strong,epistemic,?,positive,?,no,,
saamaat... dai,weak necessity,epistemic,?,positive,?,no,,
saamaat... dai,weak,epistemic,?,positive,?,no,,
